timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610650133578,564,ReadUsers,200,,Load Test 1-498,text,true,,525,183,44,44,http://localhost:9092/user/read,561,0,32
1610650133579,564,ReadUsers,200,,Load Test 1-488,text,true,,525,183,44,44,http://localhost:9092/user/read,561,0,32
1610650133650,493,ReadUsers,200,,Load Test 1-482,text,true,,525,183,44,44,http://localhost:9092/user/read,490,0,1
1610650133605,538,ReadUsers,200,,Load Test 1-484,text,true,,525,183,44,44,http://localhost:9092/user/read,535,0,5
1610650133577,565,ReadUsers,200,,Load Test 1-496,text,true,,525,183,44,44,http://localhost:9092/user/read,562,0,32
1610650133577,565,ReadUsers,200,,Load Test 1-499,text,true,,525,183,44,44,http://localhost:9092/user/read,562,0,34
1610650133578,565,ReadUsers,200,,Load Test 1-487,text,true,,525,183,44,44,http://localhost:9092/user/read,562,0,32
1610650133577,565,ReadUsers,200,,Load Test 1-492,text,true,,525,183,44,44,http://localhost:9092/user/read,562,0,34
1610650133686,457,ReadUsers,200,,Load Test 1-480,text,true,,525,183,44,44,http://localhost:9092/user/read,454,0,1
1610650133578,564,ReadUsers,200,,Load Test 1-495,text,true,,525,183,44,44,http://localhost:9092/user/read,561,0,31
1610650133627,613,ReadUsers,200,,Load Test 1-483,text,true,,525,183,49,49,http://localhost:9092/user/read,613,0,1
1610650133589,652,ReadUsers,200,,Load Test 1-485,text,true,,525,183,49,49,http://localhost:9092/user/read,652,0,23
1610650133578,662,ReadUsers,200,,Load Test 1-494,text,true,,525,183,49,49,http://localhost:9092/user/read,662,0,32
1610650133577,663,ReadUsers,200,,Load Test 1-497,text,true,,525,183,49,49,http://localhost:9092/user/read,662,0,34
1610650133578,662,ReadUsers,200,,Load Test 1-490,text,true,,525,183,49,49,http://localhost:9092/user/read,662,0,31
1610650133708,537,ReadUsers,200,,Load Test 1-479,text,true,,525,183,49,49,http://localhost:9092/user/read,536,0,1
1610650133577,666,ReadUsers,200,,Load Test 1-500,text,true,,525,183,49,49,http://localhost:9092/user/read,666,0,34
1610650133669,595,ReadUsers,200,,Load Test 1-481,text,true,,525,183,50,50,http://localhost:9092/user/read,595,0,1
1610650133578,685,ReadUsers,200,,Load Test 1-493,text,true,,525,183,50,50,http://localhost:9092/user/read,685,0,31
1610650133578,686,ReadUsers,200,,Load Test 1-486,text,true,,525,183,50,50,http://localhost:9092/user/read,686,0,32
1610650133767,580,ReadUsers,200,,Load Test 1-476,text,true,,525,183,54,54,http://localhost:9092/user/read,580,0,1
1610650133578,770,ReadUsers,200,,Load Test 1-489,text,true,,525,183,54,54,http://localhost:9092/user/read,770,0,31
1610650133747,602,ReadUsers,200,,Load Test 1-477,text,true,,525,183,54,54,http://localhost:9092/user/read,602,0,0
1610650133578,771,ReadUsers,200,,Load Test 1-491,text,true,,525,183,54,54,http://localhost:9092/user/read,771,0,31
1610650133808,542,ReadUsers,200,,Load Test 1-474,text,true,,525,183,54,54,http://localhost:9092/user/read,542,0,1
1610650133788,571,ReadUsers,200,,Load Test 1-475,text,true,,525,183,55,55,http://localhost:9092/user/read,571,0,0
1610650133726,633,ReadUsers,200,,Load Test 1-478,text,true,,525,183,55,55,http://localhost:9092/user/read,633,0,1
1610650133870,501,ReadUsers,200,,Load Test 1-471,text,true,,525,183,55,55,http://localhost:9092/user/read,500,0,1
1610650133825,554,ReadUsers,200,,Load Test 1-473,text,true,,525,183,56,56,http://localhost:9092/user/read,546,0,1
1610650133845,534,ReadUsers,200,,Load Test 1-472,text,true,,525,183,56,56,http://localhost:9092/user/read,526,0,1
1610650133925,620,ReadUsers,200,,Load Test 1-468,text,true,,525,183,64,64,http://localhost:9092/user/read,620,0,1
1610650133886,659,ReadUsers,200,,Load Test 1-470,text,true,,525,183,64,64,http://localhost:9092/user/read,659,0,1
1610650133906,650,ReadUsers,200,,Load Test 1-469,text,true,,525,183,65,65,http://localhost:9092/user/read,649,0,0
1610650133966,591,ReadUsers,200,,Load Test 1-466,text,true,,525,183,65,65,http://localhost:9092/user/read,591,0,1
